municipality_code,municipality_name,state,municipality_type,population,area_sq_km,waste_generation_tons_per_day,road_length_km,annual_budget_lakhs,category_code,item_id,equipment_name,category,sub_function,equipment_type,quantity_allocated
MH001,Mumbai,Maharashtra,Metro,12478447,603,9200,2000,28000,A,A1,Garbage Compactor Vehicle (Rear Loader),Solid Waste Management,Primary & Secondary Collection,Vehicle,28
MH001,Mumbai,Maharashtra,Metro,12478447,603,9200,2000,28000,A,A2,Garbage Compactor Vehicle (Side Loader),Solid Waste Management,Primary & Secondary Collection,Vehicle,19
MH001,Mumbai,Maharashtra,Metro,12478447,603,9200,2000,28000,A,A3,Garbage Tipper Truck (3 Ton),Solid Waste Management,Primary & Secondary Collection,Vehicle,38
MH001,Mumbai,Maharashtra,Metro,12478447,603,9200,2000,28000,A,A4,Garbage Tipper Truck (5 Ton),Solid Waste Management,Primary & Secondary Collection,Vehicle,29
MH001,Mumbai,Maharashtra,Metro,12478447,603,9200,2000,28000,A,A5,Garbage Tipper Truck (7 Ton),Solid Waste Management,Primary & Secondary Collection,Vehicle,18
MH001,Mumbai,Maharashtra,Metro,12478447,603,9200,2000,28000,A,A6,Auto Tipper (3-Wheeler),Solid Waste Management,Primary & Secondary Collection,Vehicle,254
MH001,Mumbai,Maharashtra,Metro,12478447,603,9200,2000,28000,A,A7,E-Rickshaw Garbage Collection Vehicle,Solid Waste Management,Primary Collection,Vehicle,312
MH001,Mumbai,Maharashtra,Metro,12478447,603,9200,2000,28000,A,A8,Push Cart (Manual Hand Cart),Solid Waste Management,Primary Collection,Equipment,496
MH001,Mumbai,Maharashtra,Metro,12478447,603,9200,2000,28000,A,A9,Tricycle with Bin Attachment,Solid Waste Management,Primary Collection,Equipment,371
MH001,Mumbai,Maharashtra,Metro,12478447,603,9200,2000,28000,A,A10,Thela (Flat Push Cart),Solid Waste Management,Primary Collection,Equipment,350
MH001,Mumbai,Maharashtra,Metro,12478447,603,9200,2000,28000,A,A11,Hook Loader Vehicle (Roll-on Roll-off),Solid Waste Management,Secondary Collection,Vehicle,14
MH001,Mumbai,Maharashtra,Metro,12478447,603,9200,2000,28000,A,A12,Dumper Placer Vehicle,Solid Waste Management,Secondary Collection,Vehicle,18
MH001,Mumbai,Maharashtra,Metro,12478447,603,9200,2000,28000,A,A13,Dumper Placer Container (3 CMT),Solid Waste Management,Secondary Collection,Equipment,100
MH001,Mumbai,Maharashtra,Metro,12478447,603,9200,2000,28000,A,A14,Dumper Placer Container (4.5 CMT),Solid Waste Management,Secondary Collection,Equipment,75
MH001,Mumbai,Maharashtra,Metro,12478447,603,9200,2000,28000,A,A15,Dumper Placer Container (6 CMT),Solid Waste Management,Secondary Collection,Equipment,63
MH001,Mumbai,Maharashtra,Metro,12478447,603,9200,2000,28000,A,A16,Dumper Placer Container (7 CMT),Solid Waste Management,Secondary Collection,Equipment,50
MH001,Mumbai,Maharashtra,Metro,12478447,603,9200,2000,28000,A,A17,Wheeled Bin 1100 Litre (Bulk Waste),Solid Waste Management,Secondary Collection,Equipment,248
MH001,Mumbai,Maharashtra,Metro,12478447,603,9200,2000,28000,A,A18,Segregated Bin Set (Wet/Dry/Hazardous),Solid Waste Management,Primary Collection,Equipment,747
MH001,Mumbai,Maharashtra,Metro,12478447,603,9200,2000,28000,A,A19,Community Bin (240 Litre Wheeled),Solid Waste Management,Primary Collection,Equipment,1010
MH001,Mumbai,Maharashtra,Metro,12478447,603,9200,2000,28000,A,A20,Litter Bin (Public Space 10-30 Litre),Solid Waste Management,Public Spaces,Equipment,1875
MH001,Mumbai,Maharashtra,Metro,12478447,603,9200,2000,28000,A,A21,Transfer Station Compactor,Solid Waste Management,Transfer & Transportation,Equipment,9
MH001,Mumbai,Maharashtra,Metro,12478447,603,9200,2000,28000,A,A22,Transfer Station Ramp & Platform,Solid Waste Management,Transfer & Transportation,Infrastructure,8
MH001,Mumbai,Maharashtra,Metro,12478447,603,9200,2000,28000,A,A23,Leachate Collection Tank,Solid Waste Management,Transfer & Disposal,Equipment,11
MH001,Mumbai,Maharashtra,Metro,12478447,603,9200,2000,28000,A,A24,Bulldozer (Landfill Compaction),Solid Waste Management,Landfill & Disposal,Vehicle,5
MH001,Mumbai,Maharashtra,Metro,12478447,603,9200,2000,28000,A,A25,Landfill Compactor,Solid Waste Management,Landfill & Disposal,Vehicle,4
MH001,Mumbai,Maharashtra,Metro,12478447,603,9200,2000,28000,A,A26,Track Excavator (Landfill),Solid Waste Management,Landfill & Disposal,Vehicle,3
MH001,Mumbai,Maharashtra,Metro,12478447,603,9200,2000,28000,A,A27,Drum Composter,Solid Waste Management,Waste Processing,Equipment,51
MH001,Mumbai,Maharashtra,Metro,12478447,603,9200,2000,28000,A,A28,Windrow Turner (Composting),Solid Waste Management,Waste Processing,Equipment,6
MH001,Mumbai,Maharashtra,Metro,12478447,603,9200,2000,28000,A,A29,Baler (Dry Waste & Recyclables),Solid Waste Management,Dry Waste Collection Centre,Equipment,25
MH001,Mumbai,Maharashtra,Metro,12478447,603,9200,2000,28000,A,A30,Shredder & Granulator,Solid Waste Management,Dry Waste Collection Centre,Equipment,25
MH001,Mumbai,Maharashtra,Metro,12478447,603,9200,2000,28000,A,A31,Weighing Scale (Waste),Solid Waste Management,Dry Waste Collection Centre,Equipment,63
MH001,Mumbai,Maharashtra,Metro,12478447,603,9200,2000,28000,A,A32,Material Recovery Facility Conveyor,Solid Waste Management,Waste Processing,Equipment,5
MH001,Mumbai,Maharashtra,Metro,12478447,603,9200,2000,28000,A,A33,Bio-Methanation Plant,Solid Waste Management,Waste Processing,Infrastructure,2
MH001,Mumbai,Maharashtra,Metro,12478447,603,9200,2000,28000,A,A34,Refuse Derived Fuel (RDF) Plant Equipment,Solid Waste Management,Waste Processing,Equipment,3
MH001,Mumbai,Maharashtra,Metro,12478447,603,9200,2000,28000,B,B1,Mechanical Road Sweeper Truck (Suction),Road Maintenance & Cleaning,Road Sweeping,Vehicle,4
MH001,Mumbai,Maharashtra,Metro,12478447,603,9200,2000,28000,B,B2,Mechanical Road Sweeper Truck (Brush),Road Maintenance & Cleaning,Road Sweeping,Vehicle,3
MH001,Mumbai,Maharashtra,Metro,12478447,603,9200,2000,28000,B,B3,Water Sprinkler Truck (Dust Suppression),Road Maintenance & Cleaning,Dust Control,Vehicle,4
MH001,Mumbai,Maharashtra,Metro,12478447,603,9200,2000,28000,B,B4,Anti-Smog Gun (Mounted),Road Maintenance & Cleaning,Dust Control,Equipment,1
MH001,Mumbai,Maharashtra,Metro,12478447,603,9200,2000,28000,B,B5,Pothole Repair Machine,Road Maintenance & Cleaning,Road Repair,Equipment,4
MH001,Mumbai,Maharashtra,Metro,12478447,603,9200,2000,28000,B,B6,Road Patching Vehicle (Hot Mix),Road Maintenance & Cleaning,Road Repair,Vehicle,2
MH001,Mumbai,Maharashtra,Metro,12478447,603,9200,2000,28000,B,B7,Road Roller (Vibratory 8-10 Ton),Road Maintenance & Cleaning,Road Laying,Vehicle,2
MH001,Mumbai,Maharashtra,Metro,12478447,603,9200,2000,28000,B,B8,Plate Compactor,Road Maintenance & Cleaning,Road Repair,Equipment,3
MH001,Mumbai,Maharashtra,Metro,12478447,603,9200,2000,28000,B,B9,Bitumen Boiler & Tar Boiler,Road Maintenance & Cleaning,Road Repair,Equipment,4
MH001,Mumbai,Maharashtra,Metro,12478447,603,9200,2000,28000,B,B10,Asphalt Paver Finisher,Road Maintenance & Cleaning,Road Laying,Vehicle,1
MH001,Mumbai,Maharashtra,Metro,12478447,603,9200,2000,28000,B,B11,Road Marking Machine,Road Maintenance & Cleaning,Road Marking,Equipment,2
MH001,Mumbai,Maharashtra,Metro,12478447,603,9200,2000,28000,B,B12,Thermoplastic Road Marking Machine,Road Maintenance & Cleaning,Road Marking,Equipment,2
MH001,Mumbai,Maharashtra,Metro,12478447,603,9200,2000,28000,B,B13,Tractor with Front Blade,Road Maintenance & Cleaning,Road Clearing,Vehicle,4
MH001,Mumbai,Maharashtra,Metro,12478447,603,9200,2000,28000,B,B14,Tractor with Trailer,Road Maintenance & Cleaning,Material Transport,Vehicle,5
MH001,Mumbai,Maharashtra,Metro,12478447,603,9200,2000,28000,B,B15,Hydraulic Excavator (Road Cutting),Road Maintenance & Cleaning,Road Cutting,Vehicle,2
MH001,Mumbai,Maharashtra,Metro,12478447,603,9200,2000,28000,B,B16,Backhoe Loader,Road Maintenance & Cleaning,Earthwork,Vehicle,4
MH001,Mumbai,Maharashtra,Metro,12478447,603,9200,2000,28000,B,B17,Concrete Cutter & Road Cutting Machine,Road Maintenance & Cleaning,Road Repair,Equipment,5
MH001,Mumbai,Maharashtra,Metro,12478447,603,9200,2000,28000,B,B18,Air Compressor,Road Maintenance & Cleaning,Road Repair,Equipment,5
MH001,Mumbai,Maharashtra,Metro,12478447,603,9200,2000,28000,B,B19,Pneumatic Drill & Jackhammer,Road Maintenance & Cleaning,Road Repair,Equipment,7
MH001,Mumbai,Maharashtra,Metro,12478447,603,9200,2000,28000,B,B20,Traffic Barricades & Safety Cones,Road Maintenance & Cleaning,Traffic Management,Equipment,20
MH001,Mumbai,Maharashtra,Metro,12478447,603,9200,2000,28000,B,B21,Reflective Road Studs & Delineators,Road Maintenance & Cleaning,Road Safety,Equipment,50
MH001,Mumbai,Maharashtra,Metro,12478447,603,9200,2000,28000,B,B22,Speed Breaker (Rubber & Concrete),Road Maintenance & Cleaning,Road Safety,Equipment,20
MH001,Mumbai,Maharashtra,Metro,12478447,603,9200,2000,28000,B,B23,Crash Barrier & Guard Rail,Road Maintenance & Cleaning,Road Safety,Equipment,8
MH001,Mumbai,Maharashtra,Metro,12478447,603,9200,2000,28000,B,B24,Gully Cleaning Machine (Roadside Drains),Road Maintenance & Cleaning,Drain Cleaning,Equipment,3
MH001,Mumbai,Maharashtra,Metro,12478447,603,9200,2000,28000,B,B25,Debris & C&D Waste Tipper Truck,Road Maintenance & Cleaning,Debris Removal,Vehicle,2
MH001,Mumbai,Maharashtra,Metro,12478447,603,9200,2000,28000,C,C1,Water Tanker Truck (4000 L),Water Supply,Supply Distribution,Vehicle,64
MH001,Mumbai,Maharashtra,Metro,12478447,603,9200,2000,28000,C,C2,Water Tanker Truck (8000 L),Water Supply,Supply Distribution,Vehicle,39
MH001,Mumbai,Maharashtra,Metro,12478447,603,9200,2000,28000,C,C3,Water Tanker Truck (12000 L),Water Supply,Supply Distribution,Vehicle,25
MH001,Mumbai,Maharashtra,Metro,12478447,603,9200,2000,28000,C,C4,Trailer-Mounted Water Tanker,Water Supply,Supply Distribution,Vehicle,25
MH001,Mumbai,Maharashtra,Metro,12478447,603,9200,2000,28000,C,C5,Submersible Pump (Borewell),Water Supply,Water Extraction,Equipment,101
MH001,Mumbai,Maharashtra,Metro,12478447,603,9200,2000,28000,C,C6,Centrifugal Pump Set,Water Supply,Distribution Pumping,Equipment,125
MH001,Mumbai,Maharashtra,Metro,12478447,603,9200,2000,28000,C,C7,Turbine Pump,Water Supply,Distribution Pumping,Equipment,76
MH001,Mumbai,Maharashtra,Metro,12478447,603,9200,2000,28000,C,C8,Diesel Generator for Pump Station,Water Supply,Power Backup,Equipment,89
MH001,Mumbai,Maharashtra,Metro,12478447,603,9200,2000,28000,C,C9,Chlorination Equipment,Water Supply,Water Treatment,Equipment,76
MH001,Mumbai,Maharashtra,Metro,12478447,603,9200,2000,28000,C,C10,Portable Water Quality Testing Kit,Water Supply,Water Quality,Equipment,125
MH001,Mumbai,Maharashtra,Metro,12478447,603,9200,2000,28000,C,C11,Residual Chlorine Meter,Water Supply,Water Quality,Equipment,75
MH001,Mumbai,Maharashtra,Metro,12478447,603,9200,2000,28000,C,C12,Turbidimeter,Water Supply,Water Quality,Equipment,63
MH001,Mumbai,Maharashtra,Metro,12478447,603,9200,2000,28000,C,C13,Pipe Laying Trencher,Water Supply,Network Maintenance,Equipment,50
MH001,Mumbai,Maharashtra,Metro,12478447,603,9200,2000,28000,C,C14,Pipe Bending & Fitting Tools,Water Supply,Network Maintenance,Equipment,125
MH001,Mumbai,Maharashtra,Metro,12478447,603,9200,2000,28000,C,C15,Leak Detection Equipment (Acoustic Logger),Water Supply,Network Maintenance,Equipment,51
MH001,Mumbai,Maharashtra,Metro,12478447,603,9200,2000,28000,C,C16,Pressure Testing Equipment,Water Supply,Network Maintenance,Equipment,76
MH001,Mumbai,Maharashtra,Metro,12478447,603,9200,2000,28000,C,C17,Overhead Tank Cleaning Pressure Jet,Water Supply,Tank Maintenance,Equipment,62
MH001,Mumbai,Maharashtra,Metro,12478447,603,9200,2000,28000,C,C18,Sump Cleaning Vacuum Unit,Water Supply,Tank Maintenance,Equipment,50
MH001,Mumbai,Maharashtra,Metro,12478447,603,9200,2000,28000,C,C19,Water Meter (Domestic),Water Supply,Metering,Equipment,24988
MH001,Mumbai,Maharashtra,Metro,12478447,603,9200,2000,28000,C,C20,Bulk Flow Meter,Water Supply,Metering,Equipment,189
MH001,Mumbai,Maharashtra,Metro,12478447,603,9200,2000,28000,D,D1,Sewer Jetting Machine (Hydro-Jet Vehicle Mounted),Sewerage & Drainage,Sewer Cleaning,Vehicle,62
MH001,Mumbai,Maharashtra,Metro,12478447,603,9200,2000,28000,D,D2,Sewer Jetting Machine (Portable),Sewerage & Drainage,Sewer Cleaning,Equipment,51
MH001,Mumbai,Maharashtra,Metro,12478447,603,9200,2000,28000,D,D3,Suction-cum-Jetting Machine (Combo Unit),Sewerage & Drainage,Sewer Cleaning,Vehicle,50
MH001,Mumbai,Maharashtra,Metro,12478447,603,9200,2000,28000,D,D4,Sewer Suction Machine & Gully Emptier,Sewerage & Drainage,Manhole & Septic Tank,Vehicle,63
MH001,Mumbai,Maharashtra,Metro,12478447,603,9200,2000,28000,D,D5,Faecal Sludge & Septage Treatment Equipment,Sewerage & Drainage,Septage Management,Equipment,25
MH001,Mumbai,Maharashtra,Metro,12478447,603,9200,2000,28000,D,D6,Drain Desilting Machine,Sewerage & Drainage,Storm Water Drain,Equipment,5
MH001,Mumbai,Maharashtra,Metro,12478447,603,9200,2000,28000,D,D7,Manhole Cleaning Machine (Mechanical),Sewerage & Drainage,Manhole Maintenance,Equipment,75
MH001,Mumbai,Maharashtra,Metro,12478447,603,9200,2000,28000,D,D8,CCTV Drain Inspection Camera,Sewerage & Drainage,Pipeline Inspection,Equipment,37
MH001,Mumbai,Maharashtra,Metro,12478447,603,9200,2000,28000,D,D9,Pipe Relining Equipment,Sewerage & Drainage,Pipeline Repair,Equipment,25
