municipality,equipment_id,equipment_name,procurement_category,requirement_score,is_needed,required_quantity
Mumbai,E001,Garbage Compactor Truck,SWM,172.2,1,5
Mumbai,E002,Mini Garbage Tipper,SWM,172.2,1,10
Mumbai,E003,Refuse Collector Vehicle,SWM,172.2,1,7
Mumbai,E004,Portable Waste Compactor,SWM,172.2,1,10
Mumbai,E005,Mechanical Road Sweeper,SWM,72.38,1,6
Mumbai,E006,Vacuum Road Sweeper,SWM,72.38,1,5
Mumbai,E007,Dumper Placer Vehicle,SWM,172.2,1,7
Mumbai,E008,Waste Collection Container,SWM,172.2,1,8
Mumbai,E009,Hydraulic Waste Loader,SWM,172.2,1,7
Mumbai,E010,Transfer Station Container,SWM,172.2,1,9
Mumbai,E011,Plastic Baler Machine,SWM,188.94,1,11
Mumbai,E012,Organic Waste Shredder,SWM,172.2,1,11
Mumbai,E013,Bio Waste Composting Machine,SWM,172.2,1,8
Mumbai,E014,Portable Garbage Bin Set,SWM,183.54,1,11
Mumbai,E015,Skid Steer Loader,SWM,202.5,1,6
Mumbai,E016,Waste Conveyor Belt Unit,SWM,172.2,1,9
Mumbai,E017,Industrial Waste Crusher,SWM,167.94,1,5
Mumbai,E018,Dumpster Container,SWM,172.2,1,10
Mumbai,E019,Front Loader Waste Vehicle,SWM,172.2,1,7
Mumbai,E020,Waste Segregation Conveyor,SWM,172.2,1,11
Mumbai,E021,Leaf Collection Vacuum Unit,SWM,72.38,1,8
Mumbai,E022,Portable Bin Lifter,SWM,172.2,1,11
Mumbai,E023,Waste Hopper Unit,SWM,172.2,1,9
Mumbai,E024,Biomedical Waste Carrier,SWM,172.2,1,4
Mumbai,E025,Municipal Waste Crane,SWM,188.94,1,4
Mumbai,E026,Street Cleaning Cart,SWM,72.38,1,9
Mumbai,E027,Waste Transfer Trailer,SWM,172.2,1,4
Mumbai,E028,Mobile Waste Collection Unit,SWM,172.2,1,10
Mumbai,E029,Truck Mounted Suction Cum Jetting Machine,Sewerage,47.89,1,4
Mumbai,E030,Sewer Jetting Machine,Sewerage,47.89,1,6
Mumbai,E031,High Pressure Sewer Cleaner,Sewerage,47.89,1,6
Mumbai,E032,Root Cutting System for Sewer Line,Sewerage,33.54,1,8
Mumbai,E033,Sewer Inspection Camera,Sewerage,33.54,1,5
Mumbai,E034,Portable Pipeline CCTV Unit,Sewerage,33.54,1,7
Mumbai,E035,Vacuum Sludge Tanker,Sewerage,47.89,1,6
Mumbai,E036,Manhole Desilting Machine,Sewerage,47.89,1,7
