municipality,equipment_id,equipment_name,predicted_demand
Mumbai,E001,Garbage Compactor Truck,16
Mumbai,E002,Mini Garbage Tipper,14
Mumbai,E003,Refuse Collector Vehicle,14
Mumbai,E004,Portable Waste Compactor,13
Mumbai,E005,Mechanical Road Sweeper,15
Mumbai,E006,Vacuum Road Sweeper,16
Mumbai,E007,Dumper Placer Vehicle,13
Mumbai,E008,Waste Collection Container,13
Mumbai,E009,Hydraulic Waste Loader,13
Mumbai,E010,Transfer Station Container,13
Mumbai,E011,Plastic Baler Machine,11
Mumbai,E012,Organic Waste Shredder,13
Mumbai,E013,Bio Waste Composting Machine,13
Mumbai,E014,Portable Garbage Bin Set,11
Mumbai,E015,Skid Steer Loader,13
Mumbai,E016,Waste Conveyor Belt Unit,11
Mumbai,E017,Industrial Waste Crusher,6
Mumbai,E018,Dumpster Container,11
Mumbai,E019,Front Loader Waste Vehicle,13
Mumbai,E020,Waste Segregation Conveyor,11
Mumbai,E021,Leaf Collection Vacuum Unit,10
Mumbai,E022,Portable Bin Lifter,11
Mumbai,E023,Waste Hopper Unit,9
Mumbai,E024,Biomedical Waste Carrier,13
Mumbai,E025,Municipal Waste Crane,13
Mumbai,E026,Street Cleaning Cart,10
Mumbai,E027,Waste Transfer Trailer,13
Mumbai,E028,Mobile Waste Collection Unit,13
Mumbai,E029,Truck Mounted Suction Cum Jetting Machine,20
Mumbai,E030,Sewer Jetting Machine,20
Mumbai,E031,High Pressure Sewer Cleaner,20
Mumbai,E032,Root Cutting System for Sewer Line,15
Mumbai,E033,Sewer Inspection Camera,15
Mumbai,E034,Portable Pipeline CCTV Unit,15
Mumbai,E035,Vacuum Sludge Tanker,20
Mumbai,E036,Manhole Desilting Machine,20
Mumbai,E037,Sewer Cleaning Robot,17
Mumbai,E038,Portable Sludge Pump,20
Mumbai,E039,Drain Rodding Machine,20
Mumbai,E040,Underground Pipe Locator,13
Mumbai,E041,Drain Cleaning Machine,17
Mumbai,E042,Portable Dewatering Pump,17
Mumbai,E043,High Capacity Pump Set,17
Mumbai,E044,Storm Water Pump,19
Mumbai,E045,Submersible Pump Unit,15
Mumbai,E046,Canal Desilting Machine,17
Mumbai,E047,Portable Flood Barrier Unit,9
Mumbai,E048,Emergency Drainage Vehicle,17
Mumbai,E049,Drain Excavation Unit,9
Mumbai,E050,Portable Sandbag Filling Machine,8
Mumbai,E051,Drain Jetting Machine,17
Mumbai,E052,Drain Inspection Camera,15
Mumbai,E053,Portable Mud Suction Unit,15
Mumbai,E054,Drain Clearing Robot,17
Mumbai,E055,Portable Emergency Pump,9
Mumbai,E056,Flood Recovery Vehicle,15
Mumbai,E057,Storm Drain Vacuum Cleaner,17
Mumbai,E058,Portable Water Diversion Unit,8
Mumbai,E059,Chassis Mounted Water Tanker,18
