municipality,equipment_id,equipment_name,demand,allocated,priority_score,cost
Delhi,E001,Garbage Compactor Truck,20,13,44.0,32500000
Mumbai,E001,Garbage Compactor Truck,16,10,33.5,25000000
Bengaluru,E001,Garbage Compactor Truck,12,7,25.4,17500000
Chennai,E001,Garbage Compactor Truck,11,7,23.1,17500000
Hyderabad,E001,Garbage Compactor Truck,10,6,21.8,15000000
Ahmedabad,E001,Garbage Compactor Truck,8,5,18.6,12500000
Kolkata,E001,Garbage Compactor Truck,9,5,18.5,12500000
Surat,E001,Garbage Compactor Truck,5,4,12.6,10000000
Pune,E001,Garbage Compactor Truck,5,3,11.9,7500000
Lucknow,E001,Garbage Compactor Truck,4,3,10.3,7500000
Jaipur,E001,Garbage Compactor Truck,3,3,9.1,7500000
Kanpur,E001,Garbage Compactor Truck,3,3,8.8,7500000
Nagpur,E001,Garbage Compactor Truck,3,2,8.4,5000000
Indore,E001,Garbage Compactor Truck,3,2,8.2,5000000
Visakhapatnam,E001,Garbage Compactor Truck,3,2,8.0,5000000
Thane,E001,Garbage Compactor Truck,3,2,7.9,5000000
Patna,E001,Garbage Compactor Truck,2,2,7.1,5000000
Coimbatore,E001,Garbage Compactor Truck,2,2,7.1,5000000
Ludhiana,E001,Garbage Compactor Truck,2,2,6.8,5000000
Faridabad,E001,Garbage Compactor Truck,2,2,6.7,5000000
Asansol,E001,Garbage Compactor Truck,2,2,6.2,5000000
Howrah,E001,Garbage Compactor Truck,2,2,6.1,5000000
Nashik,E001,Garbage Compactor Truck,2,2,5.7,5000000
Agra,E001,Garbage Compactor Truck,2,2,5.7,5000000
Madurai,E001,Garbage Compactor Truck,2,2,5.5,5000000
Varanasi,E001,Garbage Compactor Truck,2,2,5.4,5000000
Jabalpur,E001,Garbage Compactor Truck,1,1,4.3,2500000
Aurangabad,E001,Garbage Compactor Truck,1,1,4.3,2500000
Srinagar,E001,Garbage Compactor Truck,1,1,4.25,2500000
Amritsar,E001,Garbage Compactor Truck,1,1,4.2,2500000
Ranchi,E001,Garbage Compactor Truck,1,1,4.2,2500000
Raipur,E001,Garbage Compactor Truck,1,1,4.15,2500000
Bhubaneswar,E001,Garbage Compactor Truck,1,1,4.1,2500000
Jodhpur,E001,Garbage Compactor Truck,1,1,4.1,2500000
Mysuru,E001,Garbage Compactor Truck,1,1,4.1,2500000
Vijayawada,E001,Garbage Compactor Truck,1,1,4.1,2500000
Gwalior,E001,Garbage Compactor Truck,1,1,4.05,2500000
Kochi,E001,Garbage Compactor Truck,1,1,3.98,2500000
Guwahati,E001,Garbage Compactor Truck,1,1,3.95,2500000
Hubli,E001,Garbage Compactor Truck,1,1,3.95,2500000
Dehradun,E001,Garbage Compactor Truck,1,1,3.85,2500000
