municipality,equipment_id,equipment_name,demand,allocated,priority_score,cost
Delhi,E001,Garbage Compactor Truck,20,8,184.0,20000000
Mumbai,E001,Garbage Compactor Truck,16,6,135.5,15000000
Bengaluru,E001,Garbage Compactor Truck,12,5,117.4,12500000
Chennai,E001,Garbage Compactor Truck,11,5,111.1,12500000
Hyderabad,E001,Garbage Compactor Truck,10,5,101.8,12500000
Kolkata,E001,Garbage Compactor Truck,9,4,100.5,10000000
Ahmedabad,E001,Garbage Compactor Truck,8,4,90.6,10000000
Pune,E001,Garbage Compactor Truck,5,3,67.9,7500000
Surat,E001,Garbage Compactor Truck,5,3,65.6,7500000
Lucknow,E001,Garbage Compactor Truck,4,2,55.3,5000000
Jaipur,E001,Garbage Compactor Truck,3,2,53.1,5000000
Thane,E001,Garbage Compactor Truck,3,2,52.9,5000000
Kanpur,E001,Garbage Compactor Truck,3,2,51.8,5000000
Visakhapatnam,E001,Garbage Compactor Truck,3,2,50.0,5000000
Indore,E001,Garbage Compactor Truck,3,2,49.2,5000000
Nagpur,E001,Garbage Compactor Truck,3,2,48.2,5000000
Coimbatore,E001,Garbage Compactor Truck,2,2,47.6,5000000
Faridabad,E001,Garbage Compactor Truck,2,2,46.5,5000000
Asansol,E001,Garbage Compactor Truck,2,2,46.2,5000000
Ludhiana,E001,Garbage Compactor Truck,2,2,45.8,5000000
Howrah,E001,Garbage Compactor Truck,2,2,45.6,5000000
Patna,E001,Garbage Compactor Truck,2,2,45.1,5000000
Agra,E001,Garbage Compactor Truck,2,2,43.8,5000000
Nashik,E001,Garbage Compactor Truck,2,2,43.4,5000000
Varanasi,E001,Garbage Compactor Truck,2,2,42.6,5000000
Madurai,E001,Garbage Compactor Truck,2,2,42.5,5000000
Amritsar,E001,Garbage Compactor Truck,1,1,40.7,2500000
Aurangabad,E001,Garbage Compactor Truck,1,1,40.4,2500000
Kochi,E001,Garbage Compactor Truck,1,1,40.18,2500000
Vijayawada,E001,Garbage Compactor Truck,1,1,39.7,2500000
Jabalpur,E001,Garbage Compactor Truck,1,1,39.4,2500000
Bhubaneswar,E001,Garbage Compactor Truck,1,1,39.3,2500000
Srinagar,E001,Garbage Compactor Truck,1,1,39.05,2500000
Raipur,E001,Garbage Compactor Truck,1,1,38.85,2500000
Mysuru,E001,Garbage Compactor Truck,1,1,38.8,2500000
Ranchi,E001,Garbage Compactor Truck,1,1,38.3,2500000
Jodhpur,E001,Garbage Compactor Truck,1,1,38.3,2500000
Siliguri,E001,Garbage Compactor Truck,1,1,38.2,2500000
Gwalior,E001,Garbage Compactor Truck,1,1,37.85,2500000
Guwahati,E001,Garbage Compactor Truck,1,1,37.75,2500000
Durgapur,E001,Garbage Compactor Truck,1,1,37.38,2500000
Dehradun,E001,Garbage Compactor Truck,1,1,37.35,2500000
Hubli,E001,Garbage Compactor Truck,1,1,36.95,2500000
Udaipur,E001,Garbage Compactor Truck,1,1,35.5,2500000
Kharagpur,E001,Garbage Compactor Truck,1,1,34.1,2500000
Tirupati,E001,Garbage Compactor Truck,1,1,34.05,2500000
Malda,E001,Garbage Compactor Truck,1,1,33.95,2500000
Haldia,E001,Garbage Compactor Truck,1,1,33.6,2500000
Shimla,E001,Garbage Compactor Truck,1,1,33.35,2500000
Panaji,E001,Garbage Compactor Truck,1,1,33.05,2500000
Delhi,E002,Mini Garbage Tipper,20,13,181.0,23400000
Mumbai,E002,Mini Garbage Tipper,14,9,130.5,16200000
Bengaluru,E002,Mini Garbage Tipper,11,8,113.4,14400000
Chennai,E002,Mini Garbage Tipper,10,8,107.1,14400000
Hyderabad,E002,Mini Garbage Tipper,9,7,97.8,12600000
Kolkata,E002,Mini Garbage Tipper,8,7,96.5,12600000
Ahmedabad,E002,Mini Garbage Tipper,7,6,86.6,10800000
Pune,E002,Mini Garbage Tipper,5,5,64.9,9000000
Surat,E002,Mini Garbage Tipper,5,4,62.6,7200000
Lucknow,E002,Mini Garbage Tipper,3,3,51.3,5400000
Jaipur,E002,Mini Garbage Tipper,3,3,50.1,5400000
Thane,E002,Mini Garbage Tipper,3,3,49.9,5400000
Kanpur,E002,Mini Garbage Tipper,3,3,48.8,5400000
Visakhapatnam,E002,Mini Garbage Tipper,2,2,46.0,3600000
