municipality,equipment_id,equipment_name,predicted_demand,allocated_stock,procurement_needed,urgency_level,unit_cost_lakhs,estimated_procurement_cost,annual_budget_lakhs,budget_feasible
Delhi,E001,Garbage Compactor Truck,20,8,12,MEDIUM,25,300,650000,YES
Mumbai,E001,Garbage Compactor Truck,16,6,10,MEDIUM,25,250,500000,YES
Bengaluru,E001,Garbage Compactor Truck,12,5,7,MEDIUM,25,175,320000,YES
Chennai,E001,Garbage Compactor Truck,11,5,6,MEDIUM,25,150,310000,YES
Hyderabad,E001,Garbage Compactor Truck,10,5,5,MEDIUM,25,125,280000,YES
Kolkata,E001,Garbage Compactor Truck,9,4,5,MEDIUM,25,125,210000,YES
Ahmedabad,E001,Garbage Compactor Truck,8,4,4,MEDIUM,25,100,230000,YES
Pune,E001,Garbage Compactor Truck,5,3,2,MEDIUM,25,50,120000,YES
Surat,E001,Garbage Compactor Truck,5,3,2,MEDIUM,25,50,140000,YES
Lucknow,E001,Garbage Compactor Truck,4,2,2,MEDIUM,25,50,95000,YES
Jaipur,E001,Garbage Compactor Truck,3,2,1,LOW,25,25,98000,YES
Thane,E001,Garbage Compactor Truck,3,2,1,LOW,25,25,76000,YES
Kanpur,E001,Garbage Compactor Truck,3,2,1,LOW,25,25,85000,YES
Visakhapatnam,E001,Garbage Compactor Truck,3,2,1,LOW,25,25,82000,YES
Indore,E001,Garbage Compactor Truck,3,2,1,LOW,25,25,75000,YES
Nagpur,E001,Garbage Compactor Truck,3,2,1,LOW,25,25,70000,YES
Coimbatore,E001,Garbage Compactor Truck,2,2,0,LOW,25,0,70000,YES
Faridabad,E001,Garbage Compactor Truck,2,2,0,LOW,25,0,68000,YES
Asansol,E001,Garbage Compactor Truck,2,2,0,LOW,25,0,56000,YES
Ludhiana,E001,Garbage Compactor Truck,2,2,0,LOW,25,0,62000,YES
Howrah,E001,Garbage Compactor Truck,2,2,0,LOW,25,0,51000,YES
Patna,E001,Garbage Compactor Truck,2,2,0,LOW,25,0,52000,YES
Agra,E001,Garbage Compactor Truck,2,2,0,LOW,25,0,53000,YES
Nashik,E001,Garbage Compactor Truck,2,2,0,LOW,25,0,58000,YES
Varanasi,E001,Garbage Compactor Truck,2,2,0,LOW,25,0,47000,YES
Madurai,E001,Garbage Compactor Truck,2,2,0,LOW,25,0,51000,YES
Amritsar,E001,Garbage Compactor Truck,1,1,0,LOW,25,0,46000,YES
Aurangabad,E001,Garbage Compactor Truck,1,1,0,LOW,25,0,45000,YES
Kochi,E001,Garbage Compactor Truck,1,1,0,LOW,25,0,52000,YES
Vijayawada,E001,Garbage Compactor Truck,1,1,0,LOW,25,0,43000,YES
Jabalpur,E001,Garbage Compactor Truck,1,1,0,LOW,25,0,44000,YES
Bhubaneswar,E001,Garbage Compactor Truck,1,1,0,LOW,25,0,42000,YES
Srinagar,E001,Garbage Compactor Truck,1,1,0,LOW,25,0,39000,YES
Raipur,E001,Garbage Compactor Truck,1,1,0,LOW,25,0,41000,YES
Mysuru,E001,Garbage Compactor Truck,1,1,0,LOW,25,0,42000,YES
Ranchi,E001,Garbage Compactor Truck,1,1,0,LOW,25,0,38000,YES
Jodhpur,E001,Garbage Compactor Truck,1,1,0,LOW,25,0,41000,YES
Siliguri,E001,Garbage Compactor Truck,1,1,0,LOW,25,0,30000,YES
Gwalior,E001,Garbage Compactor Truck,1,1,0,LOW,25,0,37000,YES
Guwahati,E001,Garbage Compactor Truck,1,1,0,LOW,25,0,35000,YES
Durgapur,E001,Garbage Compactor Truck,1,1,0,LOW,25,0,27000,YES
Dehradun,E001,Garbage Compactor Truck,1,1,0,LOW,25,0,36000,YES
Hubli,E001,Garbage Compactor Truck,1,1,0,LOW,25,0,33000,YES
Udaipur,E001,Garbage Compactor Truck,1,1,0,LOW,25,0,28000,YES
Kharagpur,E001,Garbage Compactor Truck,1,1,0,LOW,25,0,17000,YES
Tirupati,E001,Garbage Compactor Truck,1,1,0,LOW,25,0,24000,YES
Malda,E001,Garbage Compactor Truck,1,1,0,LOW,25,0,14000,YES
Haldia,E001,Garbage Compactor Truck,1,1,0,LOW,25,0,15000,YES
Shimla,E001,Garbage Compactor Truck,1,1,0,LOW,25,0,16000,YES
Panaji,E001,Garbage Compactor Truck,1,1,0,LOW,25,0,22000,YES
Delhi,E002,Mini Garbage Tipper,20,13,7,LOW,12,84,650000,YES
Mumbai,E002,Mini Garbage Tipper,14,9,5,LOW,12,60,500000,YES
Bengaluru,E002,Mini Garbage Tipper,11,8,3,LOW,12,36,320000,YES
Chennai,E002,Mini Garbage Tipper,10,8,2,LOW,12,24,310000,YES
Hyderabad,E002,Mini Garbage Tipper,9,7,2,LOW,12,24,280000,YES
Kolkata,E002,Mini Garbage Tipper,8,7,1,LOW,12,12,210000,YES
Ahmedabad,E002,Mini Garbage Tipper,7,6,1,LOW,12,12,230000,YES
Pune,E002,Mini Garbage Tipper,5,5,0,LOW,12,0,120000,YES
Surat,E002,Mini Garbage Tipper,5,4,1,LOW,12,12,140000,YES
Lucknow,E002,Mini Garbage Tipper,3,3,0,LOW,12,0,95000,YES
Jaipur,E002,Mini Garbage Tipper,3,3,0,LOW,12,0,98000,YES
Thane,E002,Mini Garbage Tipper,3,3,0,LOW,12,0,76000,YES
Kanpur,E002,Mini Garbage Tipper,3,3,0,LOW,12,0,85000,YES
Visakhapatnam,E002,Mini Garbage Tipper,2,2,0,LOW,12,0,82000,YES
Indore,E002,Mini Garbage Tipper,2,2,0,LOW,12,0,75000,YES
Coimbatore,E002,Mini Garbage Tipper,2,2,0,LOW,12,0,70000,YES
Nagpur,E002,Mini Garbage Tipper,2,2,0,LOW,12,0,70000,YES
Faridabad,E002,Mini Garbage Tipper,2,2,0,LOW,12,0,68000,YES
Asansol,E002,Mini Garbage Tipper,2,2,0,LOW,12,0,56000,YES
